"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Chrome Prowler","U","C","214798","6.47","29576","8.98","98724","53.4%","16822","52.9%","24203","55.8%","41025","54.6%","57295","52.6%","2.1pp"
"Oxidda Finisher","R","U","78893","6.41","11464","9.11","23881","55.3%","3400","53.9%","4984","56.0%","8384","55.1%","15493","55.4%","-0.3pp"
"Gulping Scraptrap","B","C","214374","6.15","23237","9.13","68487","51.3%","10516","49.7%","16000","53.1%","26516","51.7%","41689","51.0%","0.7pp"
"Shrapnel Slinger","R","C","223122","6.80","41393","9.14","137741","55.9%","24599","54.8%","29485","54.8%","54084","54.8%","83594","56.6%","-1.8pp"
"Mirran Safehouse","","R","29435","6.17","3852","9.20","27","","5","","4","","9","","18","",""
"Adaptive Sporesinger","G","C","215875","6.20","25467","9.24","66559","52.0%","11043","49.5%","14295","51.4%","25338","50.6%","41174","52.9%","-2.3pp"
"Feed the Infection","B","U","77853","6.09","8148","9.29","13718","51.8%","2171","49.9%","3127","51.5%","5298","50.8%","8390","52.3%","-1.5pp"
"Veil of Assimilation","W","U","78426","6.44","9904","9.30","18540","51.5%","2960","46.5%","4202","49.1%","7162","48.0%","11364","53.7%","-5.7pp"
"Prologue to Phyresis","U","C","209180","6.42","23448","9.32","56921","49.0%","9954","46.5%","14767","50.3%","24721","48.8%","31916","49.1%","-0.3pp"
"Noxious Assault","G","U","77370","6.20","8597","9.36","12673","50.0%","1775","45.4%","2757","47.8%","4532","46.9%","8133","51.8%","-4.9pp"
"Vanish into Eternity","W","C","211191","6.16","22678","9.36","47150","51.8%","7109","48.7%","10408","52.0%","17517","50.6%","29598","52.5%","-1.9pp"
"Resistance Reunited","W","U","82320","6.55","10939","9.47","24329","55.1%","3669","52.3%","4930","52.5%","8599","52.4%","15731","56.6%","-4.2pp"
"Hazardous Blast","R","C","226769","7.27","42190","9.58","127786","56.8%","18979","55.2%","27798","57.9%","46777","56.8%","80976","56.8%","-0.0pp"
"Basilica Skullbomb","","C","228762","6.69","32341","9.59","85550","53.9%","14714","49.8%","18219","52.8%","32933","51.5%","52573","55.4%","-3.9pp"
"Goldwarden's Helm","W","C","224422","6.86","33220","9.60","88075","54.0%","15008","52.1%","18465","53.2%","33473","52.7%","54572","54.8%","-2.1pp"
"Eye of Malcator","U","C","224325","7.47","36050","9.60","92337","53.2%","15781","53.9%","22165","53.2%","37946","53.5%","54255","53.0%","0.5pp"
"Bring the Ending","U","C","218160","6.78","26657","9.67","60856","51.3%","10396","52.5%","15446","52.8%","25842","52.7%","34746","50.2%","2.5pp"
"Reject Imperfection","U","U","77917","6.42","8379","9.69","13668","48.8%","2219","47.5%","3453","52.0%","5672","50.2%","7944","47.5%","2.7pp"
"Vulshok Splitter","R","C","223414","7.09","36916","9.71","98917","55.6%","15978","54.9%","20947","55.2%","36925","55.1%","61943","56.0%","-0.9pp"
"The Hunter Maze","","C","230450","6.81","32113","9.73","141101","54.9%","24609","54.5%","30603","51.6%","55212","52.9%","83017","56.0%","-3.1pp"
"The Fair Basilica","","C","230811","6.82","31544","9.81","136887","55.5%","24300","55.2%","28826","53.4%","53126","54.2%","83149","56.4%","-2.1pp"
"Zealot's Conviction","W","C","227029","6.92","30982","9.84","77987","55.0%","11900","54.7%","16374","53.8%","28274","54.2%","49683","55.5%","-1.4pp"
"Copper Longlegs","G","C","225151","6.74","26873","9.87","59153","51.7%","10475","49.3%","13142","50.8%","23617","50.1%","35481","52.8%","-2.7pp"
